state,district,year,congress_nbr,vote
PA,11,1800,7,2182
PA,11,1806,10,5960
PA,11,1808,11,7527
PA,11,1810,12,5678
PA,11,1812,13,3660
PA,11,1814,14,3584
PA,11,1816,15,4924
PA,11,1818,16,4699
PA,11,1822,18,19506
PA,11,1824,19,12312
PA,12,1796,5,4087
PA,12,1798,6,6667
PA,12,1812,13,3281
PA,12,1814,14,3184
PA,12,1816,15,2201
PA,12,1818,16,2287
PA,12,1820,17,4397
PA,12,1822,18,5371
PA,12,1824,19,7357
PA,13,1812,13,2567
PA,13,1814,14,1960
PA,13,1816,15,2986
PA,13,1820,17,5077
PA,13,1822,18,4166
PA,13,1824,19,2723
PA,14,1812,13,2955
PA,14,1814,14,2799
PA,14,1816,15,3475
PA,14,1818,16,4189
PA,14,1820,17,4648
PA,14,1822,18,4754
PA,14,1824,19,2719
PA,15,1812,13,3449
PA,15,1814,14,2803
PA,15,1816,15,3395
PA,15,1820,17,6433
PA,15,1822,18,2575
PA,15,1824,19,2082
PA,16,1822,18,14621
PA,18,1822,18,4589
PA,18,1824,19,5142
SC,1,1788,1,1177
SC,1,1794,4,1351
SC,1,1806,10,1333
SC,1,1808,11,1567
SC,1,1814,14,2310
SC,1,1816,15,2188
SC,1,1818,16,2376
SC,1,1820,17,2613
SC,1,1823,18,1475
SC,1,1824,19,2627
SC,2,1796,5,961
SC,2,1798,6,450
SC,2,1816,15,460
SC,2,1823,18,473
SC,3,1798,6,1774
SC,4,1798,6,1900
SC,4,1823,18,1276
SC,5,1796,5,2392
SC,5,1798,6,3004
SC,5,1823,18,1870
SC,7,1823,18,3092
SC,9,1823,18,1541
TN,1,1805,9,4130
TN,1,1811,12,2465
TN,1,1815,14,4584
TN,1,1817,15,4905
TN,1,1819,16,5455
TN,1,1821,17,6085
TN,1,1823,18,6385
TN,1,1825,19,6961
TN,2,1805,9,5210
TN,2,1811,12,4331
TN,2,1817,15,7356
TN,2,1819,16,7228
TN,2,1823,18,6471
TN,2,1825,19,8113
TN,3,1805,9,6006
TN,3,1811,12,13038
TN,3,1813,13,3413
TN,3,1815,14,7250
TN,3,1817,15,8033
TN,3,1819,16,8845
TN,3,1823,18,6956
TN,3,1825,19,8125
TN,4,1817,15,6310
TN,4,1819,16,7034
TN,4,1821,17,61316
TN,4,1823,18,7134
TN,4,1825,19,3406
TN,5,1813,13,4034
TN,5,1815,14,4884
TN,5,1817,15,9360
TN,5,1819,16,9116
TN,5,1823,18,4839
TN,6,1815,14,7135
TN,6,1817,15,7536
TN,6,1819,16,8633
TN,6,1823,18,9024
TN,6,1825,19,10361
TN,7,1825,19,6704
TN,8,1823,18,5141
TN,8,1825,19,5632
TN,9,1823,18,4399
TN,9,1825,19,6819
VA,1,1790,2,1064
VA,1,1793,3,1565
VA,1,1799,6,1733
VA,1,1801,7,1321
VA,1,1809,11,2198
VA,1,1813,13,1895
VA,2,1797,5,2235
VA,2,1801,7,205
VA,2,1803,8,1837
VA,2,1809,11,1521
VA,2,1811,12,1468
VA,2,1815,14,1146
VA,2,1817,15,1123
VA,2,1819,16,1454
VA,2,1821,17,1727
VA,2,1825,19,1619
VA,3,1797,5,2346
VA,3,1799,6,2606
VA,3,1803,8,1608
VA,3,1809,11,1248
VA,3,1813,13,892
VA,3,1815,14,1407
VA,3,1817,15,1331
VA,3,1819,16,1228
VA,3,1821,17,1680
VA,4,1790,2,1536
VA,4,1799,6,2117
VA,4,1809,11,2550
VA,4,1815,14,2378
VA,5,1789,1,2280
VA,5,1793,3,1961
VA,5,1803,8,1780
VA,5,1805,9,1296
VA,5,1807,10,1916
VA,5,1813,13,1667
VA,5,1825,19,890
VA,6,1809,11,2497
VA,6,1813,13,1688
VA,6,1817,15,2154
VA,6,1825,19,1864
VA,7,1795,4,1246
VA,7,1799,6,1946
VA,7,1803,8,1216
VA,7,1805,9,1325
VA,7,1807,10,1205
VA,7,1809,11,1225
VA,7,1811,12,659
VA,7,1813,13,1679
VA,7,1821,17,2400
VA,7,1823,18,2607
VA,8,1789,1,2027
VA,8,1797,5,1222
VA,8,1799,6,2155
